             antecedents                  consequents  antecedent support  consequent support   support  confidence    lift  leverage  conviction  zhangs_metric
2519            (643324)             (643320, 643321)            0.000105            0.000105  0.000105         1.0  9550.0  0.000105         inf            1.0
2514            (643324)                     (643320)            0.000105            0.000105  0.000105         1.0  9550.0  0.000105         inf            1.0
3024           (1079495)           (1106172, 1106207)            0.000105            0.000105  0.000105         1.0  9550.0  0.000105         inf            1.0
2516    (643321, 643324)                     (643320)            0.000105            0.000105  0.000105         1.0  9550.0  0.000105         inf            1.0
1970  (3581576, 1413338)  (1413340, 3606492, 4013214)            0.000105            0.000105  0.000105         1.0  9550.0  0.000105         inf            1.0
3019           (1079495)                    (1106172)            0.000105            0.000105  0.000105         1.0  9550.0  0.000105         inf            1.0
3020           (1106172)                    (1079495)            0.000105            0.000105  0.000105         1.0  9550.0  0.000105         inf            1.0
3021  (1106172, 1079495)                    (1106207)            0.000105            0.000105  0.000105         1.0  9550.0  0.000105         inf            1.0
2515            (643320)                     (643324)            0.000105            0.000105  0.000105         1.0  9550.0  0.000105         inf            1.0
2513            (643320)                     (643321)            0.000105            0.000105  0.000105         1.0  9550.0  0.000105         inf            1.0
